0,SansHead,Default,,
0,CombatZoneResize,133,251,508,391,
0,HeartTeleport,320,376,,,,,
0,HeartMode,1,,,,,,
0,Platform,15,346,61,0,120,,
0.1,BoneStab,3,35,0.6,3.5,,
0.4,BoneVRepeat,133,356,40,0,200,91,15
0.9,Platform,-61,346,61,0,150,,
0,BoneV,-58,329,30,0,150,1,,,
1.7,Platform,-61,346,61,0,180,,
0,BoneV,-58,328,30,0,180,1,,,
1,BoneV,133,257,45,0,210,,
0,BoneV,119,263,45,0,210,,
0,BoneV,105,266,45,0,210,,
0.9,Platform,-61,346,61,0,150,,
0.8,Platform,-61,346,61,0,150,,
0,BoneVRepeat,500,320,85,2,210,2,133
0,BoneVRepeat,120,320,85,0,200,2,133
2.6,BoneV,133,257,95,0,340,,
0.6,BoneStab,1,25,0.6,0.3,,
1,SansHead,NoEyes,,
0,EndAttack,,,
